round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,last_activation,losses,lr,optimizer,shape,weight_regulizer
100,0.00027851052772875337,0.99859816,0.0027367993153795886,0.97761196,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1792523403869611,0.103738315,0.17947761536534154,0.10261194,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.17962617225179048,0.10186916,0.18358209173181164,0.08208955,relu,32,0,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18037383703984947,0.098130845,0.1746268701642307,0.12686567,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17878505172573517,0.106074765,0.18358209173181164,0.08208955,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.1811214983184761,0.09439252,0.17910448294966969,0.104477614,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.1792523406097822,0.103738315,0.17947761714458466,0.10261194,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18046729355771965,0.09766355,0.18320895753689667,0.08395522,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18037383561936493,0.098130845,0.17462687305550076,0.12686567,relu,32,0,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.3655786821775346,0.09439252,2.444020068467553,0.09701493,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.373222946006561,0.08971962,2.386897229436618,0.09701493,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3029953898670517,0.09392523,2.3063271899721514,0.08208955,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,1.3942474155782538,0.36401868,1.4235338043810717,0.40485075,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.39259279687828,0.098130845,2.4216708674359677,0.10261194,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.3777147217331644,0.1135514,2.4141146353821257,0.08395522,relu,32,0,None,100,64,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.7248514224435683,0.098130845,2.8777895685452135,0.08395522,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.84919347451112,0.098130845,2.743363088636256,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3108050863319467,0.09439252,2.306912005837284,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.311258517024673,0.08971962,2.3160601765362183,0.08208955,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.855587149112024,0.10186916,5.276433795245726,0.12126866,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,5.526920159063606,0.11635514,97.11858695300657,0.108208954,relu,32,0,None,100,64,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18037383531298593,0.098130845,0.1813432885639703,0.09328358,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.181028041410669,0.094859816,0.1813432865623218,0.09328358,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.02195696850594516,0.8406542,0.010411651513136146,0.95335823,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.025900724035835713,0.78831774,0.007916823993854002,0.9477612,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.1801919743836483,0.09906542,0.17574627386100256,0.12126866,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.180421932083424,0.09766355,0.18320895842651821,0.08395522,relu,32,0.5,None,100,32,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.1795327148426359,0.10233645,0.18358209084219007,0.08208955,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17869159348100144,0.10654206,0.18059701861730262,0.09701493,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.17287965868120997,0.10093458,0.17910448272726429,0.104477614,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.17821436000761584,0.1,0.17873134742032237,0.106343284,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.18009346250061678,0.09953271,0.17873134986678166,0.106343284,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.17943925684857592,0.10280374,0.18358209440067633,0.08208955,relu,32,0.5,None,100,32,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.3640300960184257,0.11542056,2.3821006248246377,0.09701493,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.3500720919849716,0.10233645,2.4192346103155793,0.09328358,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3030187504313817,0.10046729,2.306235199543967,0.08208955,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.302999819996201,0.095794395,2.3058730879826332,0.09701493,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,2.3883615186281295,0.094859816,2.369173818559789,0.104477614,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,2.387358231856444,0.09392523,2.423223449223077,0.12686567,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,2.6719315141160913,0.09906542,2.7161699835933857,0.104477614,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,2.6658342628835516,0.08504673,2.7051205528316213,0.12686567,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,2.3108825108715307,0.09299065,2.3274770708226447,0.08208955,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,2.313384142545896,0.09906542,2.31259095846717,0.08208955,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,5.606229094032929,0.11168224,4.360034003186581,0.08208955,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,5.494764814644216,0.09719626,4.636276544030033,0.09701493,relu,32,0.5,None,100,32,softmax,categorical_crossentropy,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18009346325263798,0.09953271,0.18059702217578888,0.09701493,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.17990654673531792,0.10046729,0.18320895753689667,0.08395522,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.02661732993323669,0.7934579,0.009546250007601816,0.9720149,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.15264505153504487,0.1359813,0.18059701817249185,0.09701493,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.179532715065457,0.10233645,0.18358209084219007,0.08208955,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.18046729355771965,0.09766355,0.17462687194347382,0.12686567,relu,32,0.5,None,100,64,softmax,mse,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.18056075213668502,0.09719626,0.17873134986678166,0.106343284,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,brick,None
100,0.18093458542199892,0.0953271,0.18320895909373439,0.08395522,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.18046729383624602,0.09766355,0.18320896087297753,0.08395522,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,brick,None
100,0.179847248525263,0.1,0.17574627475062413,0.12126866,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,long_funnel,None
100,0.17934579935586342,0.10327103,0.17873134830994392,0.106343284,relu,32,0.5,None,100,64,softmax,mse,5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
